engine,query,bytesRead,elapsedTime_s,executorRunTime_s,executorCpuTime_s
delta,q1_filter.sql,63760,0.230,0.057,0.051
delta,q2_date_range.sql,25245787,0.475,4.378,3.765
delta,q3_group_by.sql,1149588,0.365,2.943,2.423
delta,q4_order_limit.sql,516868756,0.560,9.706,8.385
