engine,query,bytesRead,elapsedTime_s,executorRunTime_s,executorCpuTime_s
iceberg,q1_filter.sql,0,0.161,0.002,0.003
iceberg,q2_date_range.sql,8901424,0.267,0.538,0.520
iceberg,q3_group_by.sql,1949186,0.320,3.131,2.648
iceberg,q4_order_limit.sql,230211074,1.038,20.455,18.600
