engine,query,bytesRead,elapsedTime_s,executorRunTime_s,executorCpuTime_s
iceberg,q1_filter.sql,0,0.162,0.003,0.003
iceberg,q2_date_range.sql,389834,0.253,0.499,0.488
iceberg,q3_group_by.sql,1949562,0.378,4.687,2.692
iceberg,q4_order_limit.sql,306614138,0.761,15.465,14.364
